010113010,Electric Circuit Theory,3
010113011,Electric Circuit Laboratory,1
010123102,Programming Fundamentals,3
010123103,Algorithms and Data Structures,3
010123105,Statistics for Computer Engineers,3
040203111,Engineering Mathematics I,3
040203112,Engineering Mathematics II,3
040313005,Physics I,3
040313006,Physics Laboratory I,1
040313007,Physics II,3
040313008,Physics Laboratory II,1
010123106,Introduction to Signals and Systems,3
010123117,Operating Systems,3
010123121,Database Systems,3
010123203,Analysis and Design of Algorithms,3
010123133,Discrete Mathematics,3
010123213,Artificial Intelligence,3
010123214,Knowledge Discovery and Data Mining,3
080103001,English I,3
080103002,English II,3
010123131,Software Development Practice I,3
010123132,Software Development Practice II,3
01077,Extra Course,3
